#       # k              E            BS weight       TS weight
      1.1570146     -1.2818760       0.0006291       0.0009198
      1.1827260     -1.2195903       0.0006254       0.0009237
      1.2084374     -1.1571893       0.0006312       0.0009395
      1.2341489     -1.0947548       0.0006664       0.0009965
      1.2598603     -1.0323778       0.0017425       0.0026054
      1.2855717     -1.0882591       0.0006889       0.0009779
      1.3112832     -1.1458579       0.0006686       0.0009033
      1.3369946     -1.2039427       0.0006763       0.0008734
      1.3627061     -1.2623776       0.0006915       0.0008577
      1.3884175     -1.3210380       0.0007094       0.0008492
      1.4141289     -1.3798090       0.0007280       0.0008450
      1.4398404     -1.4385836       0.0007467       0.0008438
      1.4655518     -1.4972610       0.0007648       0.0008447
      1.4912632     -1.5557463       0.0007823       0.0008471
      1.5169747     -1.6139492       0.0007989       0.0008507
      1.5426861     -1.6717837       0.0008146       0.0008551
      1.5683975     -1.7291673       0.0008294       0.0008602
      1.5941090     -1.7860207       0.0008433       0.0008658
      1.6198204     -1.8422675       0.0008564       0.0008717
      1.6455318     -1.8978342       0.0008686       0.0008779
      1.6712433     -1.9526495       0.0008800       0.0008842
      1.6969547     -2.0066444       0.0008906       0.0008906
      1.7226661     -2.0597522       0.0009005       0.0008970
      1.7483776     -2.1119083       0.0009097       0.0009035
      1.7740890     -2.1630499       0.0009182       0.0009099
      1.7998004     -2.2131164       0.0009261       0.0009162
      1.8255119     -2.2620490       0.0009334       0.0009224
      1.8512233     -2.3097907       0.0009402       0.0009286
      1.8769348     -2.3562866       0.0009465       0.0009346
      1.9026462     -2.4014834       0.0009522       0.0009405
      1.9283576     -2.4453299       0.0009575       0.0009462
      1.9540691     -2.4877765       0.0009623       0.0009518
      1.9797805     -2.5287757       0.0009667       0.0009572
      2.0054919     -2.5682817       0.0009707       0.0009625
      2.0312034     -2.6062506       0.0009744       0.0009676
      2.0569148     -2.6426405       0.0009776       0.0009726
      2.0826262     -2.6774112       0.0009805       0.0009774
      2.1083377     -2.7105246       0.0009831       0.0009820
      2.1340491     -2.7419445       0.0009853       0.0009864
      2.1597605     -2.7716365       0.0009872       0.0009907
      2.1854720     -2.7995682       0.0009889       0.0009949
      2.2111834     -2.8257094       0.0009902       0.0009988
      2.2368948     -2.8500315       0.0009913       0.0010026
      2.2626063     -2.8725081       0.0009920       0.0010063
      2.2883177     -2.8931148       0.0009926       0.0010098
      2.3140291     -2.9118291       0.0009928       0.0010131
      2.3397406     -2.9286307       0.0009928       0.0010162
      2.3654520     -2.9435012       0.0009926       0.0010192
      2.3911635     -2.9564241       0.0009921       0.0010221
      2.4168749     -2.9673853       0.0009914       0.0010247
      2.4425863     -2.9763724       0.0009904       0.0010272
      2.4682978     -2.9833752       0.0009893       0.0010296
      2.4940092     -2.9883855       0.0009878       0.0010318
      2.5197206     -2.9913972       0.0009862       0.0010338
      2.5454321     -2.9924063       0.0009843       0.0010357
 
      0.0000000     -2.9844044       0.0015283       0.0016078
      0.0257114     -2.9834140       0.0015250       0.0016104
      0.0514229     -2.9804217       0.0015214       0.0016128
      0.0771343     -2.9754296       0.0015175       0.0016150
      0.1028457     -2.9684418       0.0015132       0.0016168
      0.1285572     -2.9594645       0.0015085       0.0016185
      0.1542686     -2.9485060       0.0015035       0.0016198
      0.1799800     -2.9355766       0.0014981       0.0016209
      0.2056915     -2.9206886       0.0014923       0.0016218
      0.2314029     -2.9038565       0.0014862       0.0016223
      0.2571143     -2.8850965       0.0014797       0.0016226
      0.2828258     -2.8644270       0.0014728       0.0016226
      0.3085372     -2.8418684       0.0014656       0.0016223
      0.3342487     -2.8174430       0.0014579       0.0016218
      0.3599601     -2.7911752       0.0014498       0.0016209
      0.3856715     -2.7630910       0.0014413       0.0016197
      0.4113830     -2.7332188       0.0014324       0.0016182
      0.4370944     -2.7015885       0.0014230       0.0016163
      0.4628058     -2.6682322       0.0014132       0.0016142
      0.4885173     -2.6331835       0.0014029       0.0016117
      0.5142287     -2.5964782       0.0013922       0.0016088
      0.5399401     -2.5581537       0.0013809       0.0016056
      0.5656516     -2.5182492       0.0013692       0.0016020
      0.5913630     -2.4768058       0.0013569       0.0015980
      0.6170744     -2.4338662       0.0013441       0.0015936
      0.6427859     -2.3894749       0.0013308       0.0015888
      0.6684973     -2.3436778       0.0013169       0.0015835
      0.6942087     -2.2965229       0.0013025       0.0015778
      0.7199202     -2.2480595       0.0012874       0.0015717
      0.7456316     -2.1983385       0.0012717       0.0015651
      0.7713430     -2.1474126       0.0012555       0.0015581
      0.7970545     -2.0953357       0.0012386       0.0015505
      0.8227659     -2.0421634       0.0012211       0.0015425
      0.8484774     -1.9879528       0.0012030       0.0015340
      0.8741888     -1.9327625       0.0011843       0.0015250
      0.8999002     -1.8766524       0.0011651       0.0015155
      0.9256117     -1.8196842       0.0011453       0.0015057
      0.9513231     -1.7619208       0.0011251       0.0014954
      0.9770345     -1.7034267       0.0011045       0.0014849
      1.0027460     -1.6442681       0.0010836       0.0014741
      1.0284574     -1.5845126       0.0010627       0.0014633
      1.0541688     -1.5242298       0.0010421       0.0014528
      1.0798803     -1.4634911       0.0010221       0.0014429
      1.1055917     -1.4023701       0.0010034       0.0014342
      1.1313031     -1.3409426       0.0009869       0.0014277
      1.1570146     -1.2792875       0.0009742       0.0014254
      1.1827260     -1.2174868       0.0009684       0.0014311
      1.2084374     -1.1556265       0.0009771       0.0014551
      1.2341489     -1.0937980       0.0010311       0.0015425
      1.2598603     -1.0321068       0.0028198       0.0042166
      1.2855717     -1.0873088       0.0010659       0.0015136
      1.3112832     -1.1442908       0.0010351       0.0013990
      1.3369946     -1.2018221       0.0010473       0.0013531
      1.3627061     -1.2597585       0.0010711       0.0013291
      1.3884175     -1.3179687       0.0010990       0.0013161
      1.4141289     -1.3763320       0.0011281       0.0013098
      1.4398404     -1.4347362       0.0011572       0.0013080
      1.4655518     -1.4930763       0.0011856       0.0013096
      1.4912632     -1.5512537       0.0012128       0.0013135
      1.5169747     -1.6091750       0.0012387       0.0013192
      1.5426861     -1.6667511       0.0012633       0.0013262
      1.5683975     -1.7238972       0.0012864       0.0013342
      1.5941090     -1.7805320       0.0013081       0.0013430
      1.6198204     -1.8365773       0.0013285       0.0013523
      1.6455318     -1.8919577       0.0013475       0.0013619
