# Orbital magnetization in unit of Bohr magneton \mu_B
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
#                                      Sum over 1~NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z         m_x         m_y         m_z
   -0.481108    0.513681    0.000000  0.0000E+00  0.0000E+00  0.3533E-01  0.0000E+00  0.0000E+00  0.3533E-01  0.0000E+00  0.0000E+00  0.3533E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.467927    0.536511    0.000000  0.0000E+00  0.0000E+00  0.3593E-01  0.0000E+00  0.0000E+00  0.3593E-01  0.0000E+00  0.0000E+00  0.3593E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.454746    0.559341    0.000000  0.0000E+00  0.0000E+00  0.3643E-01  0.0000E+00  0.0000E+00  0.3643E-01  0.0000E+00  0.0000E+00  0.3643E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.441565    0.582171    0.000000  0.0000E+00  0.0000E+00  0.3679E-01  0.0000E+00  0.0000E+00  0.3679E-01  0.0000E+00  0.0000E+00  0.3679E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.428384    0.605002    0.000000  0.0000E+00  0.0000E+00  0.3694E-01  0.0000E+00  0.0000E+00  0.3694E-01  0.0000E+00  0.0000E+00  0.3694E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.415203    0.627832    0.000000  0.0000E+00  0.0000E+00  0.3687E-01  0.0000E+00  0.0000E+00  0.3687E-01  0.0000E+00  0.0000E+00  0.3687E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.402022    0.650662    0.000000  0.0000E+00  0.0000E+00  0.3652E-01  0.0000E+00  0.0000E+00  0.3652E-01  0.0000E+00  0.0000E+00  0.3652E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.388841    0.673492    0.000000  0.0000E+00  0.0000E+00  0.3588E-01  0.0000E+00  0.0000E+00  0.3588E-01  0.0000E+00  0.0000E+00  0.3588E-01  0.0000E+00  0.0000E+00  0.0000E+00
  
   -1.140161   -0.673492    0.000000  0.0000E+00  0.0000E+00  0.3494E-01  0.0000E+00  0.0000E+00  0.3494E-01  0.0000E+00  0.0000E+00  0.3494E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.126980   -0.650662    0.000000  0.0000E+00  0.0000E+00  0.3469E-01  0.0000E+00  0.0000E+00  0.3469E-01  0.0000E+00  0.0000E+00  0.3469E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.113799   -0.627832    0.000000  0.0000E+00  0.0000E+00  0.3414E-01  0.0000E+00  0.0000E+00  0.3414E-01  0.0000E+00  0.0000E+00  0.3414E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.100618   -0.605002    0.000000  0.0000E+00  0.0000E+00  0.3329E-01  0.0000E+00  0.0000E+00  0.3329E-01  0.0000E+00  0.0000E+00  0.3329E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.087437   -0.582171    0.000000  0.0000E+00  0.0000E+00  0.3218E-01  0.0000E+00  0.0000E+00  0.3218E-01  0.0000E+00  0.0000E+00  0.3218E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.074256   -0.559341    0.000000  0.0000E+00  0.0000E+00  0.3083E-01  0.0000E+00  0.0000E+00  0.3083E-01  0.0000E+00  0.0000E+00  0.3083E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.061075   -0.536511    0.000000  0.0000E+00  0.0000E+00  0.2931E-01  0.0000E+00  0.0000E+00  0.2931E-01  0.0000E+00  0.0000E+00  0.2931E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.047893   -0.513681    0.000000  0.0000E+00  0.0000E+00  0.2769E-01  0.0000E+00  0.0000E+00  0.2769E-01  0.0000E+00  0.0000E+00  0.2769E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.034712   -0.490850    0.000000  0.0000E+00  0.0000E+00  0.2604E-01  0.0000E+00  0.0000E+00  0.2604E-01  0.0000E+00  0.0000E+00  0.2604E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.021531   -0.468020    0.000000  0.0000E+00  0.0000E+00  0.2444E-01  0.0000E+00  0.0000E+00  0.2444E-01  0.0000E+00  0.0000E+00  0.2444E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.008350   -0.445190    0.000000  0.0000E+00  0.0000E+00  0.2299E-01  0.0000E+00  0.0000E+00  0.2299E-01  0.0000E+00  0.0000E+00  0.2299E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.995169   -0.422360    0.000000  0.0000E+00  0.0000E+00  0.2174E-01  0.0000E+00  0.0000E+00  0.2174E-01  0.0000E+00  0.0000E+00  0.2174E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.981988   -0.399529    0.000000  0.0000E+00  0.0000E+00  0.2078E-01  0.0000E+00  0.0000E+00  0.2078E-01  0.0000E+00  0.0000E+00  0.2078E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.968807   -0.376699    0.000000  0.0000E+00  0.0000E+00  0.2014E-01  0.0000E+00  0.0000E+00  0.2014E-01  0.0000E+00  0.0000E+00  0.2014E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.955626   -0.353869    0.000000  0.0000E+00  0.0000E+00  0.1986E-01  0.0000E+00  0.0000E+00  0.1986E-01  0.0000E+00  0.0000E+00  0.1986E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.942445   -0.331039    0.000000  0.0000E+00  0.0000E+00  0.1995E-01  0.0000E+00  0.0000E+00  0.1995E-01  0.0000E+00  0.0000E+00  0.1995E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.929264   -0.308208    0.000000  0.0000E+00  0.0000E+00  0.2042E-01  0.0000E+00  0.0000E+00  0.2042E-01  0.0000E+00  0.0000E+00  0.2042E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -0.916083   -0.285378    0.000000  0.0000E+00  0.0000E+00  0.2122E-01  0.0000E+00  0.0000E+00  0.2122E-01  0.0000E+00  0.0000E+00  0.2122E-01  0.0000E+00  0.0000E+00  0.0000E+00
