# Berry curvature in unit of (Angstrom^2)  
#                                      Sum over 1-NumOccupied bands       values at NumOccupied'th band               Sum below Fermi level               values at Fermi level
# kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z     Omega_x     Omega_y     Omega_z
#col     1           2           3           4           5           6           7           8           9          10          11          12          13          14          15
   -1.606105    0.000000   -0.760786 -0.9991E-03  0.0000E+00  0.2238E-01 -0.9991E-03  0.0000E+00  0.2238E-01 -0.9991E-03  0.0000E+00  0.2238E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.704432 -0.1122E-02  0.0000E+00  0.2450E-01 -0.1122E-02  0.0000E+00  0.2450E-01 -0.1122E-02  0.0000E+00  0.2450E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.648077 -0.1248E-02  0.0000E+00  0.2688E-01 -0.1248E-02  0.0000E+00  0.2688E-01 -0.1248E-02  0.0000E+00  0.2688E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.591723 -0.1371E-02  0.0000E+00  0.2951E-01 -0.1371E-02  0.0000E+00  0.2951E-01 -0.1371E-02  0.0000E+00  0.2951E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.535368 -0.1485E-02  0.0000E+00  0.3238E-01 -0.1485E-02  0.0000E+00  0.3238E-01 -0.1485E-02  0.0000E+00  0.3238E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.479014 -0.1579E-02  0.0000E+00  0.3546E-01 -0.1579E-02  0.0000E+00  0.3546E-01 -0.1579E-02  0.0000E+00  0.3546E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.422659 -0.1639E-02  0.0000E+00  0.3870E-01 -0.1639E-02  0.0000E+00  0.3870E-01 -0.1639E-02  0.0000E+00  0.3870E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.366305 -0.1651E-02  0.0000E+00  0.4201E-01 -0.1651E-02  0.0000E+00  0.4201E-01 -0.1651E-02  0.0000E+00  0.4201E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.309950 -0.1600E-02  0.0000E+00  0.4529E-01 -0.1600E-02  0.0000E+00  0.4529E-01 -0.1600E-02  0.0000E+00  0.4529E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.253595 -0.1474E-02  0.0000E+00  0.4839E-01 -0.1474E-02  0.0000E+00  0.4839E-01 -0.1474E-02  0.0000E+00  0.4839E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.197241 -0.1265E-02  0.0000E+00  0.5116E-01 -0.1265E-02  0.0000E+00  0.5116E-01 -0.1265E-02  0.0000E+00  0.5116E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.140886 -0.9751E-03  0.0000E+00  0.5342E-01 -0.9751E-03  0.0000E+00  0.5342E-01 -0.9751E-03  0.0000E+00  0.5342E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.084532 -0.6163E-03  0.0000E+00  0.5503E-01 -0.6163E-03  0.0000E+00  0.5503E-01 -0.6163E-03  0.0000E+00  0.5503E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000   -0.028177 -0.2109E-03  0.0000E+00  0.5587E-01 -0.2109E-03  0.0000E+00  0.5587E-01 -0.2109E-03  0.0000E+00  0.5587E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.028177  0.2109E-03  0.0000E+00  0.5587E-01  0.2109E-03  0.0000E+00  0.5587E-01  0.2109E-03  0.0000E+00  0.5587E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.084532  0.6163E-03  0.0000E+00  0.5503E-01  0.6163E-03  0.0000E+00  0.5503E-01  0.6163E-03  0.0000E+00  0.5503E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.140886  0.9751E-03  0.0000E+00  0.5342E-01  0.9751E-03  0.0000E+00  0.5342E-01  0.9751E-03  0.0000E+00  0.5342E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.197241  0.1265E-02  0.0000E+00  0.5116E-01  0.1265E-02  0.0000E+00  0.5116E-01  0.1265E-02  0.0000E+00  0.5116E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.253595  0.1474E-02  0.0000E+00  0.4839E-01  0.1474E-02  0.0000E+00  0.4839E-01  0.1474E-02  0.0000E+00  0.4839E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.309950  0.1600E-02  0.0000E+00  0.4529E-01  0.1600E-02  0.0000E+00  0.4529E-01  0.1600E-02  0.0000E+00  0.4529E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.366305  0.1651E-02  0.0000E+00  0.4201E-01  0.1651E-02  0.0000E+00  0.4201E-01  0.1651E-02  0.0000E+00  0.4201E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.422659  0.1639E-02  0.0000E+00  0.3870E-01  0.1639E-02  0.0000E+00  0.3870E-01  0.1639E-02  0.0000E+00  0.3870E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.479014  0.1579E-02  0.0000E+00  0.3546E-01  0.1579E-02  0.0000E+00  0.3546E-01  0.1579E-02  0.0000E+00  0.3546E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.535368  0.1485E-02  0.0000E+00  0.3238E-01  0.1485E-02  0.0000E+00  0.3238E-01  0.1485E-02  0.0000E+00  0.3238E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.591723  0.1371E-02  0.0000E+00  0.2951E-01  0.1371E-02  0.0000E+00  0.2951E-01  0.1371E-02  0.0000E+00  0.2951E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.648077  0.1248E-02  0.0000E+00  0.2688E-01  0.1248E-02  0.0000E+00  0.2688E-01  0.1248E-02  0.0000E+00  0.2688E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.704432  0.1122E-02  0.0000E+00  0.2450E-01  0.1122E-02  0.0000E+00  0.2450E-01  0.1122E-02  0.0000E+00  0.2450E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.760786  0.9991E-03  0.0000E+00  0.2238E-01  0.9991E-03  0.0000E+00  0.2238E-01  0.9991E-03  0.0000E+00  0.2238E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.817141  0.8832E-03  0.0000E+00  0.2049E-01  0.8832E-03  0.0000E+00  0.2049E-01  0.8832E-03  0.0000E+00  0.2049E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.873496  0.7760E-03  0.0000E+00  0.1883E-01  0.7760E-03  0.0000E+00  0.1883E-01  0.7760E-03  0.0000E+00  0.1883E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.929850  0.6782E-03  0.0000E+00  0.1737E-01  0.6782E-03  0.0000E+00  0.1737E-01  0.6782E-03  0.0000E+00  0.1737E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    0.986205  0.5898E-03  0.0000E+00  0.1610E-01  0.5898E-03  0.0000E+00  0.1610E-01  0.5898E-03  0.0000E+00  0.1610E-01  0.0000E+00  0.0000E+00  0.0000E+00
   -1.606105    0.000000    1.042559  0.5105E-03  0.0000E+00  0.1500E-01  0.5105E-03  0.0000E+00  0.1500E-01  0.5105E-03  0.0000E+00  0.1500E-01  0.0000E+00  0.0000E+00  0.0000E+00
